ticker,lobf residual
GM,0.46376685919878025
GPC,0.5226426994891107
GILD,0.5411401986849219
GPN,0.4883896848538301
GL,0.30379606360316563
GS,0.39027677280929546
HAL,0.36315690135962814
HBI,0.5465605448024112
HAS,0.40102657416867915
HCA,0.5261897237057893
PEAK,0.581815573550564
HSIC,0.3232345891855107
HES,0.3821124941229942
HPE,0.3250079529753183
HLT,0.42436738023057236
HOLX,0.5889528846505909
HD,0.4734040907199172
HON,0.3311952767014112
HRL,0.4497355604546906
HST,0.456787394040374
HWM,0.33885467673571673
HPQ,0.37768036062702987
HUM,0.48182587917874653
HBAN,0.1892012968720245
HII,0.3603957383403335
IBM,0.5434834570658389
IEX,0.3998724725781414
IDXX,0.5571061502076247
INFO,0.5581326836114193
ITW,0.3591366410934315
ILMN,0.6321776639450852
