ticker,vv-ratio
FCX,-0.2438112297497558
GPS,-0.6041993985097284
GRMN,-0.9023728637406468
IT,-0.7840710744894527
GNRC,2.4535596552373717
GD,-0.14801606108595358
GE,0.16278225043886324
GIS,-0.16850158108402907
GM,-0.11715682479556336
GPC,-0.43839181167097246
GILD,0.007321494954145635
GPN,-1.4644149983521109
GL,-0.3410005971444441
GS,-0.8656858836923762
HAL,0.5612627180349112
HBI,-0.09216182071739733
HAS,0.0822058470263939
HCA,-0.05717707814551931
PEAK,-0.27480763425414434
HSIC,0.5374855286232236
HES,7.159265714974626
HPE,-0.007093309368704
HLT,0.637936081466601
HOLX,0.09003671328616933
HD,-3.209920791484603
HON,-3.0490674076347624
HRL,-0.0638119880972272
HST,0.04546010591122805
HWM,-0.1714599660063254
HPQ,-0.6344048084544894
